Nombre de la campaña,Entrega de la campaña,Alcance,Impresiones,Tipo de resultado,Resultados,Presupuesto de la campaña,Tipo de presupuesto de la campaña,Importe gastado (HNL),Inicio,Fin,CPM (coste por 1000 impresiones),CPC (Coste por clic en el enlace),CTR (porcentaje de clics en el enlace),CTR (todos),Reproducciones de vídeo,Coste por resultado,Clics en el enlace,Inicio del informe,Fin del informe
"Post: ""✨️""Construye, Remodela y dale vida a tus espacios...""",completed,25482,97232,Conversaciones con mensajes iniciadas,87,5000,Toda la campaña,2643.49,,,27.18744858,9.44103571,0.28797104,2.57219845,,30.38494253,280,01/04/2024,30/06/2024
"Post: ""✨️""Dale vida a tus proyectos de construcción y...""",completed,9392,36322,Conversaciones con mensajes iniciadas,48,1500,Toda la campaña,1500,,,41.29728539,12.71186441,0.32487198,2.92384781,,31.25,118,01/04/2024,30/06/2024
"Publicación: ""✨""Renueva tu hogar este mes de junio: Inviérte tu...""",completed,7107,27944,Conversaciones con mensajes iniciadas,43,1500,Toda la campaña,1499.94,,,53.67663899,11.02897059,0.48668766,1.52447753,,34.88232558,136,01/04/2024,30/06/2024
"Post: ""💖""En este mes del Día de la Madre, convierte sus...""",completed,6554,23183,Conversaciones con mensajes iniciadas,14,1000,Toda la campaña,1000,,,43.13505586,12.65822785,0.34076694,1.0783764,,71.42857143,79,01/04/2024,30/06/2024
"Post: ""✨""Renueva tus espacios con estilo, elegancia y...""",active,0,0,,,5544,Toda la campaña,0,,,,,,,,,,01/04/2024,30/06/2024
"Post: ""✨""¡Transforma tus espacios en este mes de julio...""",completed,0,0,,,1500,Toda la campaña,0,,,,,,,,,,01/04/2024,30/06/2024
"Post: ""✨️""En el mes del amor y la amistad, te traemos...""",completed,0,0,,,1000,Toda la campaña,0,,,,,,,,,,01/04/2024,30/06/2024
"Publicación: ""✨🎉¡Le damos la bienvenida al 2024 con grandes...""",completed,0,0,,,700,Toda la campaña,0,,,,,,,,,,01/04/2024,30/06/2024
